컴공-----------
GEB1105-008	 	Academic English 1	1	2.0	교양필수	화1,2,목3(5남132)	스트롱	상대평가	가군 트랙1,
GEB1105-009	 	Academic English 1	1	2.0	교양필수	월1,2,수3(5남233)	브로케티	상대평가	가군 트랙2,
GEB1105-010	 	Academic English 1	1	2.0	교양필수	월1,2,수3(5남432B)	스트롱	상대평가	가군 트랙2,
GEB1105-011	 	Academic English 1	1	2.0	교양필수	월1,2,수3(5남237)	헴브리	상대평가	가군 트랙2,
GEB1105-012	 	Academic English 1	1	2.0	교양필수	월1,2,수3(5남231)	잉글스	상대평가	가군 트랙2,
GEB1105-013	 	Academic English 1	1	2.0	교양필수	월1,2,수3(5남536A)	태	상대평가	가군 트랙2,
GEB1105-014	 	Academic English 1	1	2.0	교양필수	월1,2,수3(5남537)	랜디	상대평가	가군 트랙2,
GEB1105-015	 	Academic English 1	1	2.0	교양필수	월1,2,수3(5남433B)	톰	상대평가	가군 트랙2,
GEB1105-016	 	Academic English 1	1	2.0	교양필수	월1,2,수3(5남235)	맥납	상대평가	가군 트랙2,
GEB1105-017	 	Academic English 1	1	2.0	교양필수	월1,2,수3(5남133)	마콰르트	상대평가	가군 트랙2,
GEB1105-018	 	Academic English 1	1	2.0	교양필수	월1,2,수3(5남538A)	안토니	상대평가	가군 트랙2,
GEB1105-019	 	Academic English 1	1	2.0	교양필수	월1,2,수3(5남433A)	장진이	상대평가	가군 트랙2,
GEB1105-020	 	Academic English 1	1	2.0	교양필수	월1,2,수3(5남234)	크리스틀	상대평가	가군 트랙2,
GEB1105-021	 	Academic English 1	1	2.0	교양필수	월1,2,수3(5남239)	스티븐	상대평가	가군 트랙2,
GEB1105-022	 	Academic English 1	1	2.0	교양필수	월1,2,수3(5남536B)	스티브콘틱	상대평가	가군 트랙2,
GEB1105-023	 	Academic English 1	1	2.0	교양필수	화1,2,목3(5남536B)	래도윅	상대평가	가군 트랙3,
GEB1105-024	 	Academic English 1	1	2.0	교양필수	화1,2,목3(5남234)	코너	상대평가	가군 트랙3,
GEB1105-025	 	Academic English 1	1	2.0	교양필수	화1,2,목3(5남233)	리차드	상대평가	가군 트랙3,
GEB1105-026	 	Academic English 1	1	2.0	교양필수	화1,2,목3(5남536A)	아이린	상대평가	가군 트랙3,
GEB1105-027	 	Academic English 1	1	2.0	교양필수	화1,2,목3(5남231)	스탠스필드	상대평가	가군 트랙3,
GEB1105-028	 	Academic English 1	1	2.0	교양필수	화1,2,목3(5남131)	스크리브너	상대평가	가군 트랙3,
GEB1105-029	 	Academic English 1	1	2.0	교양필수	화1,2,목3(5남239)	그레고리맥닐	상대평가	가군 트랙3,
GEB1105-030	 	Academic English 1	1	2.0	교양필수	화1,2,목3(5남235)	엠버	상대평가	가군 트랙3,
GEB1105-031	 	Academic English 1	1	2.0	교양필수	월3,수1,2(5남433A)	스콧 쉐이퍼	상대평가	나군 트랙1,
GEB1105-032	 	Academic English 1	1	2.0	교양필수	월3,수1,2(5남538A)	레슬리	상대평가	나군 트랙1,
GEB1105-033	 	Academic English 1	1	2.0	교양필수	월3,수1,2(5남537)	스티브콘틱	상대평가	나군 트랙1,
GEB1105-034	 	Academic English 1	1	2.0	교양필수	월3,수1,2(5남432B)	크리스	상대평가	나군 트랙1,
GEB1105-035	 	Academic English 1	1	2.0	교양필수	월3,수1,2(5남433B)	데이비드고체	상대평가	나군 트랙1,
GEB1105-036	 	Academic English 1	1	2.0	교양필수	월3,수1,2(5남133)	제이김	상대평가	나군 트랙1,
GEB1105-037	 	Academic English 1	1	2.0	교양필수	월3,수1,2(5남237)	브래들리	상대평가	나군 트랙1,
GEB1105-038	 	Academic English 1	1	2.0	교양필수	월3,수1,2(5남132)	스티븐	상대평가	나군 트랙1,
GEB1105-039	 	Academic English 1	1	2.0	교양필수	화3,목1,2(5남233)	브로케티	상대평가	나군 트랙2,
GEB1105-040	 	Academic English 1	1	2.0	교양필수	화3,목1,2(5남432B)	스트롱	상대평가	나군 트랙2,
GEB1105-041	 	Academic English 1	1	2.0	교양필수	화3,목1,2(5남237)	헴브리	상대평가	나군 트랙2,
GEB1105-042	 	Academic English 1	1	2.0	교양필수	화3,목1,2(5남231)	잉글스	상대평가	나군 트랙2,
GEB1105-043	 	Academic English 1	1	2.0	교양필수	화3,목1,2(5남536A)	태	상대평가	나군 트랙2,
GEB1105-044	 	Academic English 1	1	2.0	교양필수	화3,목1,2(5남537)	랜디	상대평가	나군 트랙2,
GEB1105-045	 	Academic English 1	1	2.0	교양필수	화3,목1,2(5남433B)	톰	상대평가	나군 트랙2,
GEB1105-046	 	Academic English 1	1	2.0	교양필수	화3,목1,2(5남235)	맥납	상대평가	나군 트랙2,
GEB1105-047	 	Academic English 1	1	2.0	교양필수	화3,목1,2(5남133)	마콰르트	상대평가	나군 트랙2,
GEB1105-048	 	Academic English 1	1	2.0	교양필수	화3,목1,2(5남538A)	안토니	상대평가	나군 트랙2,
GEB1105-049	 	Academic English 1	1	2.0	교양필수	화3,목1,2(5남433A)	장진이	상대평가	나군 트랙2,
GEB1105-050	 	Academic English 1	1	2.0	교양필수	화3,목1,2(5남234)	크리스틀	상대평가	나군 트랙2,
GEB1105-051	 	Academic English 1	1	2.0	교양필수	화3,목1,2(5남239)	스티븐	상대평가	나군 트랙2,
GEB1105-052	 	Academic English 1	1	2.0	교양필수	화3,목1,2(5남536B)	레슬리	상대평가	나군 트랙2,
GEB1105-053	 	Academic English 1	1	2.0	교양필수	월3,수1,2(5남536B)	래도윅	상대평가	나군 트랙3,
GEB1105-054	 	Academic English 1	1	2.0	교양필수	월3,수1,2(5남234)	코너	상대평가	나군 트랙3,
GEB1105-055	 	Academic English 1	1	2.0	교양필수	월3,수1,2(5남233)	리차드	상대평가	나군 트랙3,
GEB1105-056	 	Academic English 1	1	2.0	교양필수	월3,수1,2(5남536A)	아이린	상대평가	나군 트랙3,
GEB1105-057	 	Academic English 1	1	2.0	교양필수	월3,수1,2(5남231)	스탠스필드	상대평가	나군 트랙3,
GEB1105-058	 	Academic English 1	1	2.0	교양필수	월3,수1,2(5남131)	스크리브너	상대평가	나군 트랙3,
GEB1105-059	 	Academic English 1	1	2.0	교양필수	월3,수1,2(5남239)	그레고리맥닐	상대평가	나군 트랙3,
GEB1105-060	 	Academic English 1	1	2.0	교양필수	월3,수1,2(5남235)	엠버	상대평가	나군 트랙3,
GEB1105-061	 	Academic English 1	1	2.0	교양필수	월5,6,목4(5남433A)	스콧 쉐이퍼	상대평가	다군 트랙1,
GEB1105-062	 	Academic English 1	1	2.0	교양필수	월5,6,목4(5남538A)	레슬리	상대평가	다군 트랙1,
GEB1105-063	 	Academic English 1	1	2.0	교양필수	월5,6,목4(5남537)	스티브콘틱	상대평가	다군 트랙1,
GEB1105-064	 	Academic English 1	1	2.0	교양필수	월5,6,목4(5남432B)	크리스	상대평가	다군 트랙1,
GEB1105-065	 	Academic English 1	1	2.0	교양필수	월5,6,목4(5남433B)	데이비드고체	상대평가	다군 트랙1,
GEB1105-066	 	Academic English 1	1	2.0	교양필수	월5,6,목4(5남133)	제이김	상대평가	다군 트랙1,
GEB1105-067	 	Academic English 1	1	2.0	교양필수	월5,6,목4(5남237)	브래들리	상대평가	다군 트랙1,
GEB1105-068	 	Academic English 1	1	2.0	교양필수	월5,6,목4(5남132)	스티븐	상대평가	다군 트랙1,
GEB1105-069	 	Academic English 1	1	2.0	교양필수	수4,금1,2(5남233)	브로케티	상대평가	다군 트랙2,
GEB1105-070	 	Academic English 1	1	2.0	교양필수	수4,금1,2(5남432B)	스트롱	상대평가	다군 트랙2,
GEB1105-071	 	Academic English 1	1	2.0	교양필수	수4,금1,2(5남237)	헴브리	상대평가	다군 트랙2,
GEB1105-072	 	Academic English 1	1	2.0	교양필수	수4,금1,2(5남231)	잉글스	상대평가	다군 트랙2,
GEB1105-073	 	Academic English 1	1	2.0	교양필수	수4,금1,2(5남536A)	태	상대평가	다군 트랙2,
GEB1105-074	 	Academic English 1	1	2.0	교양필수	수4,금1,2(5남537)	랜디	상대평가	다군 트랙2,
GEB1105-075	 	Academic English 1	1	2.0	교양필수	수4,금1,2(5남433B)	톰	상대평가	다군 트랙2,
GEB1105-076	 	Academic English 1	1	2.0	교양필수	수4,금1,2(5남235)	맥납	상대평가	다군 트랙2,
GEB1105-077	 	Academic English 1	1	2.0	교양필수	수4,금1,2(5남133)	마콰르트	상대평가	다군 트랙2,
GEB1105-078	 	Academic English 1	1	2.0	교양필수	수4,금1,2(5남538A)	안토니	상대평가	다군 트랙2,
GEB1105-079	 	Academic English 1	1	2.0	교양필수	수4,금1,2(5남433A)	장진이	상대평가	다군 트랙2,
GEB1105-080	 	Academic English 1	1	2.0	교양필수	수4,금1,2(5남234)	크리스틀	상대평가	다군 트랙2,
GEB1105-081	 	Academic English 1	1	2.0	교양필수	수4,금1,2(5남239)	스티븐	상대평가	다군 트랙2,
GEB1105-082	 	Academic English 1	1	2.0	교양필수	수4,금1,2(5남536B)	레슬리	상대평가	다군 트랙2,
GEB1105-083	 	Academic English 1	1	2.0	교양필수	월5,6,목4(5남536B)	래도윅	상대평가	다군 트랙3,
GEB1105-084	 	Academic English 1	1	2.0	교양필수	월5,6,목4(5남234)	코너	상대평가	다군 트랙3,
GEB1105-085	 	Academic English 1	1	2.0	교양필수	월5,6,목4(5남233)	리차드	상대평가	다군 트랙3,
GEB1105-086	 	Academic English 1	1	2.0	교양필수	월5,6,목4(5남536A)	아이린	상대평가	다군 트랙3,
GEB1105-087	 	Academic English 1	1	2.0	교양필수	월5,6,목4(5남231)	스탠스필드	상대평가	다군 트랙3,
GEB1105-088	 	Academic English 1	1	2.0	교양필수	월5,6,목4(5남131)	스크리브너	상대평가	다군 트랙3,
GEB1105-089	 	Academic English 1	1	2.0	교양필수	월5,6,목4(5남239)	그레고리맥닐	상대평가	다군 트랙3,
GEB1105-090	 	Academic English 1	1	2.0	교양필수	월5,6,목4(5남235)	엠버	상대평가	다군 트랙3,
GEB1105-091	 	Academic English 1	1	2.0	교양필수	수5,6,금3(5남433A)	스콧 쉐이퍼	상대평가	라군 트랙1,
GEB1105-092	 	Academic English 1	1	2.0	교양필수	수5,6,금3(5남538A)	레슬리	상대평가	라군 트랙1,
GEB1105-093	 	Academic English 1	1	2.0	교양필수	수5,6,금3(5남537)	스티브콘틱	상대평가	라군 트랙1,
GEB1105-094	 	Academic English 1	1	2.0	교양필수	수5,6,금3(5남432B)	크리스	상대평가	라군 트랙1,
GEB1105-095	 	Academic English 1	1	2.0	교양필수	수5,6,금3(5남433B)	데이비드고체	상대평가	라군 트랙1,
GEB1105-096	 	Academic English 1	1	2.0	교양필수	수5,6,금3(5남133)	제이김	상대평가	라군 트랙1,
